date;value
01/01/2018;2.86
01/02/2018;2.84
01/03/2018;2.68
01/04/2018;2.76
01/05/2018;2.86
01/06/2018;4.39
01/07/2018;4.48
01/08/2018;4.19
01/09/2018;4.53
01/10/2018;4.56
01/11/2018;4.05
01/12/2018;3.75
01/01/2019;3.78
01/02/2019;3.89
01/03/2019;4.58
01/04/2019;4.94
01/05/2019;4.66
01/06/2019;3.37
01/07/2019;3.22
01/08/2019;3.43
01/09/2019;2.89
01/10/2019;2.54
01/11/2019;3.27
01/12/2019;4.31
01/01/2020;4.19
01/02/2020;4.01
01/03/2020;3.3
01/04/2020;2.4
01/05/2020;1.88
01/06/2020;2.13
01/07/2020;2.31
01/08/2020;2.44
01/09/2020;3.14
01/10/2020;3.92
01/11/2020;4.31
01/12/2020;4.52
01/01/2021;4.56
01/02/2021;5.2
01/03/2021;6.1
01/04/2021;6.76
01/05/2021;8.06
01/06/2021;8.35
01/07/2021;8.99
01/08/2021;9.68
01/09/2021;10.25
01/10/2021;10.67
01/11/2021;10.74
01/12/2021;10.06
01/01/2022;10.38
01/02/2022;10.54
01/03/2022;11.3
01/04/2022;12.13
01/05/2022;11.73
01/06/2022;11.89
