date;value
2018-01-01;2.86
2018-01-02;2.86
2018-01-03;2.86
2018-01-04;2.86
2018-01-05;2.86
2018-01-06;2.86
2018-01-07;2.86
2018-01-08;2.86
2018-01-09;2.86
2018-01-10;2.86
2018-01-11;2.86
2018-01-12;2.86
2018-01-13;2.86
2018-01-14;2.86
2018-01-15;2.86
2018-01-16;2.86
2018-01-17;2.86
2018-01-18;2.86
2018-01-19;2.86
2018-01-20;2.86
2018-01-21;2.86
2018-01-22;2.86
2018-01-23;2.86
2018-01-24;2.86
2018-01-25;2.86
2018-01-26;2.86
2018-01-27;2.86
2018-01-28;2.86
2018-01-29;2.86
2018-01-30;2.86
2018-01-31;2.86
2018-02-01;2.84
2018-02-02;2.84
2018-02-03;2.84
2018-02-04;2.84
2018-02-05;2.84
2018-02-06;2.84
2018-02-07;2.84
2018-02-08;2.84
2018-02-09;2.84
2018-02-10;2.84
2018-02-11;2.84
2018-02-12;2.84
2018-02-13;2.84
2018-02-14;2.84
2018-02-15;2.84
2018-02-16;2.84
2018-02-17;2.84
2018-02-18;2.84
2018-02-19;2.84
2018-02-20;2.84
2018-02-21;2.84
2018-02-22;2.84
2018-02-23;2.84
2018-02-24;2.84
2018-02-25;2.84
2018-02-26;2.84
2018-02-27;2.84
2018-02-28;2.84
2018-03-01;2.68
2018-03-02;2.68
2018-03-03;2.68
2018-03-04;2.68
2018-03-05;2.68
2018-03-06;2.68
2018-03-07;2.68
2018-03-08;2.68
2018-03-09;2.68
2018-03-10;2.68
2018-03-11;2.68
2018-03-12;2.68
2018-03-13;2.68
2018-03-14;2.68
2018-03-15;2.68
2018-03-16;2.68
2018-03-17;2.68
2018-03-18;2.68
2018-03-19;2.68
2018-03-20;2.68
2018-03-21;2.68
2018-03-22;2.68
2018-03-23;2.68
2018-03-24;2.68
2018-03-25;2.68
2018-03-26;2.68
2018-03-27;2.68
2018-03-28;2.68
2018-03-29;2.68
2018-03-30;2.68
2018-03-31;2.68
2018-04-01;2.76
2018-04-02;2.76
2018-04-03;2.76
2018-04-04;2.76
2018-04-05;2.76
2018-04-06;2.76
2018-04-07;2.76
2018-04-08;2.76
2018-04-09;2.76
2018-04-10;2.76
2018-04-11;2.76
2018-04-12;2.76
2018-04-13;2.76
2018-04-14;2.76
2018-04-15;2.76
2018-04-16;2.76
2018-04-17;2.76
2018-04-18;2.76
2018-04-19;2.76
2018-04-20;2.76
2018-04-21;2.76
2018-04-22;2.76
2018-04-23;2.76
2018-04-24;2.76
2018-04-25;2.76
2018-04-26;2.76
2018-04-27;2.76
2018-04-28;2.76
2018-04-29;2.76
2018-04-30;2.76
2018-05-01;2.86
2018-05-02;2.86
2018-05-03;2.86
2018-05-04;2.86
2018-05-05;2.86
2018-05-06;2.86
2018-05-07;2.86
2018-05-08;2.86
2018-05-09;2.86
2018-05-10;2.86
2018-05-11;2.86
2018-05-12;2.86
2018-05-13;2.86
2018-05-14;2.86
2018-05-15;2.86
2018-05-16;2.86
2018-05-17;2.86
2018-05-18;2.86
2018-05-19;2.86
2018-05-20;2.86
2018-05-21;2.86
2018-05-22;2.86
2018-05-23;2.86
2018-05-24;2.86
2018-05-25;2.86
2018-05-26;2.86
2018-05-27;2.86
2018-05-28;2.86
2018-05-29;2.86
2018-05-30;2.86
2018-05-31;2.86
2018-06-01;4.39
2018-06-02;4.39
2018-06-03;4.39
2018-06-04;4.39
2018-06-05;4.39
2018-06-06;4.39
2018-06-07;4.39
2018-06-08;4.39
2018-06-09;4.39
2018-06-10;4.39
2018-06-11;4.39
2018-06-12;4.39
2018-06-13;4.39
2018-06-14;4.39
2018-06-15;4.39
2018-06-16;4.39
2018-06-17;4.39
2018-06-18;4.39
2018-06-19;4.39
2018-06-20;4.39
2018-06-21;4.39
2018-06-22;4.39
2018-06-23;4.39
2018-06-24;4.39
2018-06-25;4.39
2018-06-26;4.39
2018-06-27;4.39
2018-06-28;4.39
2018-06-29;4.39
2018-06-30;4.39
2018-07-01;4.48
2018-07-02;4.48
2018-07-03;4.48
2018-07-04;4.48
2018-07-05;4.48
2018-07-06;4.48
2018-07-07;4.48
2018-07-08;4.48
2018-07-09;4.48
2018-07-10;4.48
2018-07-11;4.48
2018-07-12;4.48
2018-07-13;4.48
2018-07-14;4.48
2018-07-15;4.48
2018-07-16;4.48
2018-07-17;4.48
2018-07-18;4.48
2018-07-19;4.48
2018-07-20;4.48
2018-07-21;4.48
2018-07-22;4.48
2018-07-23;4.48
2018-07-24;4.48
2018-07-25;4.48
2018-07-26;4.48
2018-07-27;4.48
2018-07-28;4.48
2018-07-29;4.48
2018-07-30;4.48
2018-07-31;4.48
2018-08-01;4.19
2018-08-02;4.19
2018-08-03;4.19
2018-08-04;4.19
2018-08-05;4.19
2018-08-06;4.19
2018-08-07;4.19
2018-08-08;4.19
2018-08-09;4.19
2018-08-10;4.19
2018-08-11;4.19
2018-08-12;4.19
2018-08-13;4.19
2018-08-14;4.19
2018-08-15;4.19
2018-08-16;4.19
2018-08-17;4.19
2018-08-18;4.19
2018-08-19;4.19
2018-08-20;4.19
2018-08-21;4.19
2018-08-22;4.19
2018-08-23;4.19
2018-08-24;4.19
2018-08-25;4.19
2018-08-26;4.19
2018-08-27;4.19
2018-08-28;4.19
2018-08-29;4.19
2018-08-30;4.19
2018-08-31;4.19
2018-09-01;4.53
2018-09-02;4.53
2018-09-03;4.53
2018-09-04;4.53
2018-09-05;4.53
2018-09-06;4.53
2018-09-07;4.53
2018-09-08;4.53
2018-09-09;4.53
2018-09-10;4.53
2018-09-11;4.53
2018-09-12;4.53
2018-09-13;4.53
